time,G(i),H_sun,T2m,WS10m,Int
20200112:0306,0,0,25.3,1.24,0
20200112:0406,0,0,25.31,1.17,0
20200112:0506,0,0,25.38,1.17,0
20200112:0606,0,0,25.17,1.03,0
20200112:0706,147.55,13.07,25.42,0.62,0
20200112:0806,344.48,26.45,27.51,1.38,0
20200112:0906,531.43,39.15,29.3,0.97,0
20200112:1006,674.96,50.48,30.99,0.83,0
20200112:1106,758.82,58.86,32.38,0.97,0
20200112:1206,875.64,61.53,32.83,1.24,0
20200112:1306,719.91,57.08,33.41,1.59,0
20200112:1406,665.48,47.69,33.13,1.79,0
20200112:1506,555.27,35.9,31.81,1.93,0
20200112:1606,296.88,22.97,30.36,2.41,0
20200112:1706,106.07,9.48,29.48,2.28,0
20200112:1806,0,0,28.45,1.86,0
20200112:1906,0,0,27.98,1.86,0
20200112:2006,0,0,27.3,1.59,0
20200112:2106,0,0,26.91,1.45,0
20200112:2206,0,0,26.5,1.38,0
20200112:2306,0,0,26.15,1.52,0
20200113:0006,0,0,25.91,1.72,0
20200113:0106,0,0,25.72,1.59,0
20200113:0206,0,0,25.46,1.52,0
20200113:0306,0,0,25.29,1.31,0
20200113:0406,0,0,25.23,1.1,0
20200113:0506,0,0,25.37,0.97,0
20200113:0606,0,0,25.41,0.9,0
20200113:0706,143.1,13.02,25.85,1.1,0
20200113:0806,356.24,26.43,26.93,1.66,0
20200113:0906,507.44,39.16,28.81,1.38,0
20200113:1006,626.14,50.53,30.58,1.03,0
20200113:1106,728.13,58.97,31.81,1.03,0
20200113:1206,866.32,61.7,32.92,1.31,0
20200113:1306,781.46,57.26,33.26,1.52,0
20200113:1406,707.94,47.87,33.2,1.72,0
20200113:1506,529.93,36.05,32.01,1.93,0
20200113:1606,361.21,23.11,30.25,2.34,0
20200113:1706,113.79,9.59,29.61,2.34,0
20200113:1806,0,0,28.6,2.07,0
20200113:1906,0,0,28.25,2,0
20200113:2006,0,0,27.49,2,0
20200113:2106,0,0,26.88,2,0
20200113:2206,0,0,26.47,1.93,0
20200113:2306,0,0,26.12,2,0
20200114:0006,0,0,25.85,2,0
20200114:0106,0,0,25.66,1.93,0
20200114:0206,0,0,25.45,1.66,0
20200114:0306,0,0,25.33,1.38,0
20200114:0406,0,0,25.44,1.24,0
20200114:0506,0,0,25.55,1.03,0
20200114:0606,0,0,25.75,0.83,0
20200114:0706,138.66,12.98,26.04,0.69,0
20200114:0806,358.2,26.4,27,0.76,0
20200114:0906,516.83,39.17,28.69,0.62,0
20200114:1006,661.17,50.58,30.49,0.28,0
20200114:1106,799.13,59.09,32.02,0.07,0
20200114:1206,780.14,61.88,32.8,0.21,0
20200114:1306,787.34,57.46,33.14,0.62,0
20200114:1406,713.87,48.04,33.13,1.17,0
20200114:1506,574.78,36.21,31.97,1.52,0
20200114:1606,348.72,23.24,31.37,2.14,0
20200114:1706,119.03,9.71,30.3,2.41,0
20200114:1806,0,0,29.07,2.28,0
20200114:1906,0,0,28.47,2.34,0
20200114:2006,0,0,27.65,2.28,0
20200114:2106,0,0,27.07,2.07,0
20200114:2206,0,0,26.61,1.93,0
20200114:2306,0,0,26.2,1.79,0
20200115:0006,0,0,25.84,1.66,0
20200115:0106,0,0,25.51,1.59,0
20200115:0206,0,0,25.24,1.45,0
20200115:0306,0,0,25.11,1.38,0
20200115:0406,0,0,25.22,1.24,0
20200115:0506,0,0,25.65,1.38,0
20200115:0606,0,0,25.57,0.9,0
20200115:0706,126.55,12.94,25.88,0.83,0
20200115:0806,323.26,26.39,26.74,1.24,0
20200115:0906,597.4,39.18,28.64,0.97,0
20200115:1006,791.41,50.64,30.45,0.69,0
20200115:1106,923.23,59.21,32.6,0.41,0
20200115:1206,952.32,62.07,34.2,0.07,0
20200115:1306,906.32,57.65,35.15,0.34,0
20200115:1406,778.57,48.22,35.47,0.69,0
20200115:1506,591.23,36.36,35.53,1.03,0
20200115:1606,360.33,23.37,34.28,1.93,0
20200115:1706,126.96,9.83,32.18,2.55,0
20200115:1806,0,0,30.02,2.69,0
20200115:1906,0,0,28.54,2.28,0
20200115:2006,0,0,27.7,2.07,0
20200115:2106,0,0,27.06,1.86,0
20200115:2206,0,0,26.49,1.79,0
20200115:2306,0,0,26.2,1.79,0
20200116:0006,0,0,26.02,1.86,0
20200116:0106,0,0,25.61,1.79,0
20200116:0206,0,0,25.43,1.45,0
20200116:0306,0,0,25.28,1.1,0
20200116:0406,0,0,25.07,1.03,0
20200116:0506,0,0,25.31,1.17,0
20200116:0606,0,0,25.38,1.45,0
20200116:0706,158.51,12.9,25.64,1.31,0
20200116:0806,386.23,26.37,26.31,1.38,0
20200116:0906,600.53,39.2,28.02,1.59,0
20200116:1006,781.58,50.71,29.61,1.03,0
20200116:1106,906.89,59.34,32,0.62,0
20200116:1206,947.74,62.26,33.92,0.62,0
20200116:1306,891.72,57.85,35.23,1.17,0
20200116:1406,770.46,48.4,35.92,1.1,0
20200116:1506,585.13,36.51,35.97,0.9,0
20200116:1606,354.81,23.51,35.19,1.38,0
20200116:1706,119.23,9.94,32.85,2.28,0
20200116:1806,0,0,30.27,2.83,0
20200116:1906,0,0,28.54,2.69,0
20200116:2006,0,0,27.5,2.34,0
20200116:2106,0,0,26.95,1.86,0
20200116:2206,0,0,26.52,1.66,0
20200116:2306,0,0,26.16,1.59,0
20200117:0006,0,0,25.85,1.31,0
20200117:0106,0,0,25.71,0.9,0
20200117:0206,0,0,25.61,0.34,0
20200117:0306,0,0,25.15,0.55,0
20200117:0406,0,0,24.87,0.62,0
20200117:0506,0,0,24.7,0.62,0
20200117:0606,0,0,24.8,0.62,0
20200117:0706,159.67,12.86,25.48,0.55,0
20200117:0806,393.61,26.36,26.32,0.62,0
20200117:0906,520.45,39.22,27.98,0.76,0
20200117:1006,734.74,50.78,30.24,1.03,0
20200117:1106,870.59,59.48,32.5,1.24,0
20200117:1206,948.3,62.46,34.09,1.1,0
20200117:1306,908.79,58.06,35.23,0.9,0
20200117:1406,785.65,48.58,35.89,0.62,0
20200117:1506,598.42,36.67,36.01,0.55,0
20200117:1606,359.11,23.64,34.97,1.52,0
20200117:1706,122.42,10.06,32.6,2.48,0
20200117:1806,0,0,30.01,2.83,0
20200117:1906,0,0,27.97,2.48,0
20200117:2006,0,0,27.15,2.28,0
20200117:2106,0,0,26.66,1.93,0
20200117:2206,0,0,26.23,1.93,0
20200117:2306,0,0,25.88,1.86,0
20200118:0006,0,0,25.74,1.79,0
20200118:0106,0,0,25.67,1.59,0
20200118:0206,0,0,25.65,1.24,0
20200118:0306,0,0,25.71,0.9,0
20200118:0406,0,0,25.59,0.83,0
20200118:0506,0,0,25.54,0.83,0
20200118:0606,0,0,25.28,0.9,0
20200118:0706,140.71,12.83,25.89,0.62,0
20200118:0806,329.57,26.35,26.67,0.55,0
20200118:0906,523.61,39.25,28.13,0.55,0
20200118:1006,674.33,50.85,30.35,0.55,0
20200118:1106,764.4,59.62,32.09,0.62,0
20200118:1206,876.09,62.66,33.39,0.48,0
20200118:1306,871.08,58.27,34.42,0.28,0
20200118:1406,771.88,48.76,34.98,0.21,0
20200118:1506,591.17,36.83,34.97,0.41,0
20200118:1606,361.32,23.77,34.38,1.17,0
20200118:1706,125.17,10.17,32.53,1.72,0
20200118:1806,0,0,30.52,2.28,0
20200118:1906,0,0,28.79,2.21,0
20200118:2006,0,0,27.63,2.14,0
20200118:2106,0,0,26.87,2,0
20200118:2206,0,0,26.48,1.66,0
20200118:2306,0,0,26.17,1.45,0
20200119:0006,0,0,25.91,1.45,0
20200119:0106,0,0,25.62,1.31,0
20200119:0206,0,0,25.34,1.17,0
20200119:0306,0,0,25.22,0.83,0
20200119:0406,0,0,25.47,0.9,0
20200119:0506,0,0,25.65,0.9,0
20200119:0606,0,0,25.62,1.03,0
20200119:0706,151.77,12.8,25.94,0.97,0
20200119:0806,351.04,26.35,26.52,0.83,0
20200119:0906,579.46,39.28,28.37,0.83,0
20200119:1006,720.38,50.93,30.67,0.97,0
20200119:1106,906.97,59.77,32.53,1.1,0
20200119:1206,927.04,62.87,33.65,1.1,0
20200119:1306,893.88,58.48,34.46,1.03,0
20200119:1406,769.16,48.95,34.92,0.97,0
20200119:1506,582.43,36.98,34.79,1.1,0
20200119:1606,356.87,23.91,33.56,2,0
20200119:1706,124.31,10.28,31.83,2.48,0
20200119:1806,0,0,29.77,2.41,0
20200119:1906,0,0,28.57,2.07,0
20200119:2006,0,0,27.4,1.93,0
20200119:2106,0,0,26.65,1.79,0
20200119:2206,0,0,26.16,1.66,0
20200119:2306,0,0,25.77,1.59,0
20200120:0006,0,0,25.41,1.59,0
20200120:0106,0,0,25.11,1.52,0
20200120:0206,0,0,24.85,1.45,0
20200120:0306,0,0,24.63,1.45,0
20200120:0406,0,0,24.44,1.1,0
20200120:0506,0,0,24.04,1.24,0
20200120:0606,0,0,23.46,1.1,0
20200120:0706,143.99,12.78,24.18,1.03,0
20200120:0806,340.07,26.35,25.88,0.76,0
20200120:0906,594.28,39.31,27.94,0.48,0
20200120:1006,771.8,51.02,30.15,0.34,0
20200120:1106,897.94,59.93,32.08,0.21,0
20200120:1206,934.25,63.09,33.47,0.55,0
20200120:1306,875.67,58.7,34.35,0.97,0
20200120:1406,725.7,49.14,34.59,1.45,0
20200120:1506,570.19,37.14,34.33,2.21,0
20200120:1606,350.11,24.04,32.94,2.76,0
20200120:1706,74.21,10.4,31.19,2.9,0
20200120:1806,0,0,29.14,2.55,0
20200120:1906,0,0,27.89,2.21,0
20200120:2006,0,0,26.94,1.86,0
20200120:2106,0,0,26.36,1.66,0
20200120:2206,0,0,25.96,1.59,0
20200120:2306,0,0,25.58,1.52,0
20200121:0006,0,0,25.28,1.59,0
20200121:0106,0,0,25.16,1.59,0
20200121:0206,0,0,24.91,1.72,0
20200121:0306,0,0,24.86,1.66,0
20200121:0406,0,0,25,1.52,0
20200121:0506,0,0,24.82,1.03,0
20200121:0606,0,0,24.73,1.03,0
20200121:0706,150.49,12.76,25.19,0.83,0
20200121:0806,365.87,26.36,26.67,0.9,0
20200121:0906,582.23,39.35,29.13,0.76,0
20200121:1006,757.53,51.11,31.61,0.69,0
20200121:1106,881.42,60.09,33.49,0.83,0
20200121:1206,917.53,63.31,35.2,0.9,0
20200121:1306,865.34,58.93,36.22,0.83,0
20200121:1406,740,49.33,36.67,0.9,0
20200121:1506,556.89,37.3,36.6,1.31,0
20200121:1606,337.25,24.17,35.11,2.14,0
20200121:1706,120.26,10.51,32.83,2.69,0
20200121:1806,0,0,30.13,2.83,0
20200121:1906,0,0,28.44,2.28,0
20200121:2006,0,0,27.29,2,0
20200121:2106,0,0,26.63,1.79,0
20200121:2206,0,0,26.11,1.72,0
20200121:2306,0,0,25.67,1.66,0
20200122:0006,0,0,25.32,1.59,0
20200122:0106,0,0,24.99,1.52,0
20200122:0206,0,0,24.71,1.31,0
20200122:0306,0,0,24.5,1.1,0
20200122:0406,0,0,24.21,1.31,0
20200122:0506,0,0,23.92,1.38,0
20200122:0606,0,0,23.61,1.31,0
20200122:0706,129.64,12.74,24.05,0.76,0
20200122:0806,354.75,26.36,26.84,0.55,0
20200122:0906,571,39.4,29.45,0.34,0
20200122:1006,727.98,51.2,31.81,0.21,0
20200122:1106,753.47,60.26,33.77,0.48,0
20200122:1206,773.22,63.54,35.21,0.69,0
20200122:1306,694.36,59.15,36.1,0.76,0
20200122:1406,683.01,49.52,36.44,0.97,0
20200122:1506,546.79,37.46,36.01,1.72,0
20200122:1606,336.5,24.3,34.23,2.62,0
20200122:1706,124.03,10.62,32.03,3.1,0
20200122:1806,0,0,29.58,2.9,0
20200122:1906,0,0,28.25,2.48,0
20200122:2006,0,0,27.23,2.21,0
20200122:2106,0,0,26.66,2,0
20200122:2206,0,0,26.18,2.07,0
20200122:2306,0,0,25.79,1.93,0
20200123:0006,0,0,25.45,1.79,0
20200123:0106,0,0,25.14,1.45,0
20200123:0206,0,0,24.92,0.76,0
20200123:0306,0,0,24.8,0.83,0
20200123:0406,0,0,24.72,0.97,0
20200123:0506,0,0,24.86,0.97,0
20200123:0606,0,0,24.74,0.83,0
20200123:0706,141.48,12.72,25.11,1.03,0
20200123:0806,316.09,26.38,26.75,0.55,0
20200123:0906,466.27,39.45,29.15,0.14,0
20200123:1006,712.57,51.3,31.47,0.41,0
20200123:1106,873.79,60.43,33.37,0.83,0
20200123:1206,937.99,63.77,34.65,1.1,0
20200123:1306,819.95,59.38,35.28,1.31,0
20200123:1406,772.29,49.71,35.43,1.59,0
20200123:1506,594.89,37.62,34.56,2.34,0
20200123:1606,360.44,24.43,32.87,2.9,0
20200123:1706,130.14,10.73,31,3.17,0
20200123:1806,0,0,29.02,2.69,0
20200123:1906,0,0,27.96,2.34,0
20200123:2006,0,0,27.08,2.14,0
20200123:2106,0,0,26.52,1.79,0
20200123:2206,0,0,26.03,1.79,0
20200123:2306,0,0,25.65,1.72,0
20200124:0006,0,0,25.34,1.45,0
20200124:0106,0,0,25.1,1.17,0
20200124:0206,0,0,24.83,1.1,0
20200124:0306,0,0,24.8,1.1,0
20200124:0406,0,0,24.75,1.03,0
20200124:0506,0,0,24.65,0.83,0
20200124:0606,0,0,24.69,0.9,0
20200124:0706,130.51,12.71,24.8,1.03,0
20200124:0806,282.04,26.39,25.52,1.03,0
20200124:0906,625.86,39.5,27.75,0.97,0
20200124:1006,807.31,51.41,30.49,1.31,0
20200124:1106,934.28,60.61,32.71,1.52,0
20200124:1206,967.37,64.01,34.41,1.72,0
20200124:1306,919.04,59.62,35.54,1.72,0
20200124:1406,793.61,49.91,36.07,1.52,0
20200124:1506,609.88,37.77,36.11,1.31,0
20200124:1606,362.89,24.56,35.36,1.52,0
20200124:1706,133.57,10.83,33.32,1.79,0
20200124:1806,0,0,30.6,2.34,0
20200124:1906,0,0,28.58,2,0
20200124:2006,0,0,27.04,1.86,0
20200124:2106,0,0,26.02,1.86,0
20200124:2206,0,0,25.36,1.72,0
20200124:2306,0,0,24.94,1.52,0
20200125:0006,0,0,24.42,1.03,0
20200125:0106,0,0,23.82,1.86,0
20200125:0206,0,0,22.95,1.66,0
20200125:0306,0,0,22.54,1.59,0
20200125:0406,0,0,22.07,1.66,0
20200125:0506,0,0,21.55,1.79,0
20200125:0606,0,0,21.02,1.93,0
20200125:0706,171.92,12.7,21.04,1.52,0
20200125:0806,417.14,26.41,24.27,1.17,0
20200125:0906,664.64,39.55,27.96,1.66,0
20200125:1006,846.92,51.52,30.19,1.72,0
20200125:1106,973.84,60.79,32.25,1.59,0
20200125:1206,1009.26,64.26,34.06,1.52,0
20200125:1306,964.68,59.85,35.34,1.45,0
20200125:1406,835.56,50.1,35.98,1.31,0
20200125:1506,647.61,37.93,36.01,1.24,0
20200125:1606,399.44,24.69,35.11,1.52,0
20200125:1706,151.16,10.94,32.9,2.07,0
20200125:1806,0,0,29.76,2.41,0
20200125:1906,0,0,27.81,2.14,0
20200125:2006,0,0,26.25,2.07,0
20200125:2106,0,0,25.33,2.07,0
20200125:2206,0,0,24.63,1.93,0
20200125:2306,0,0,24.34,1.59,0
20200126:0006,0,0,24.42,0.62,0
20200126:0106,0,0,23.25,1.31,0
20200126:0206,0,0,22.35,1.86,0
20200126:0306,0,0,21.46,1.86,0
20200126:0406,0,0,20.97,1.86,0
20200126:0506,0,0,20.58,1.86,0
20200126:0606,0,0,20.2,1.86,0
20200126:0706,161.89,12.7,20.32,1.24,0
20200126:0806,385.83,26.43,23.88,0.97,0
20200126:0906,623.79,39.61,27.53,1.1,0
20200126:1006,803.99,51.63,30.23,0.97,0
